Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,,Close,
2019-11-11 00:00:00-05:00,49.86020657,50.00288177,49.71753456,49.96931076,576300,0,0,,,
2019-11-12 00:00:00-05:00,49.86021017,49.90217234,49.51611526,49.6168251,820500,0,0,,Mean,48.72712667
2019-11-13 00:00:00-05:00,49.91056339,50.13716293,49.78467369,50.10359192,653500,0,0,,Standard Error,0.141126331
2019-11-14 00:00:00-05:00,49.68396659,49.89378064,49.64200442,49.76789093,1088800,0,0,,Median,48.14135933
2019-11-15 00:00:00-05:00,49.29790463,49.65039066,49.23915376,49.54128647,645500,0,0,,Mode,52.9361763
2019-11-18 00:00:00-05:00,49.74271577,49.96092097,49.5916494,49.64200592,678800,0,0,,Standard Deviation,5.005510445
2019-11-19 00:00:00-05:00,49.72592648,49.776283,49.47415028,49.53289795,621900,0,0,,Sample Variance,25.05513482
2019-11-20 00:00:00-05:00,49.17201858,49.41540364,49.14684192,49.33987045,805500,0,0,,Kurtosis,1.483306096
2019-11-21 00:00:00-05:00,48.97059601,49.13005673,48.7020343,48.83631516,664900,0,0,,Skewness,0.887379414
2019-11-22 00:00:00-05:00,48.93701972,49.01255289,48.79434453,48.85309219,483500,0,0,,Range,27.33415222
2019-11-25 00:00:00-05:00,48.96220474,49.20558979,48.90345706,49.16362762,1197000,0,0,,Minimum,37.73209381
2019-11-26 00:00:00-05:00,49.39862224,49.67557513,49.33987456,49.47415543,734000,0,0,,Maximum,65.06624603
2019-11-27 00:00:00-05:00,49.43219108,49.60843411,49.28112471,49.54968643,795500,0,0,,Sum,61298.72535
2019-11-29 00:00:00-05:00,49.71753885,49.95252957,49.66718233,49.92735291,320000,0,0,,Count,1258
2019-12-02 00:00:00-05:00,49.73432457,49.77628994,49.3398763,49.75111008,872700,0,0,,Confidence Level(95.0%),0.276869119
2019-12-03 00:00:00-05:00,49.51611772,49.70075512,49.4657612,49.67557526,814600,0,0,,,
2019-12-04 00:00:00-05:00,49.83503074,50.00288261,49.75949756,49.95252609,634700,0,0,,,
2019-12-05 00:00:00-05:00,49.80147087,49.84343304,49.58326563,49.81825638,678500,0,0,,,
2019-12-06 00:00:00-05:00,50.16234802,50.34698542,49.99449612,50.19591904,764000,0,0,,,
2019-12-09 00:00:00-05:00,50.48126087,50.59875622,50.31340899,50.54000854,521900,0,0,,,
2019-12-10 00:00:00-05:00,50.44768994,50.59036196,50.26305255,50.32180023,457700,0,0,,,
2019-12-11 00:00:00-05:00,50.15393893,50.27982862,49.96930478,50.04483795,850600,0,0,,,
2019-12-12 00:00:00-05:00,50.17073477,50.25466231,49.76789218,49.92735291,950500,0,0,,,
2019-12-13 00:00:00-05:00,50.94285595,51.16106117,50.81696623,51.14427567,1060400,0,0,,,
2019-12-16 00:00:00-05:00,51.86603625,52.09263582,51.73175538,51.95835495,920400,0,0,,,
2019-12-17 00:00:00-05:00,47.80403187,47.92992158,47.18298408,47.2333374,4307500,0,0,,,
2019-12-18 00:00:00-05:00,47.34244417,47.39280069,46.79692633,46.9144249,2920900,0,0,,,
2019-12-19 00:00:00-05:00,47.25012495,47.5522577,47.15780625,47.48511887,1406300,0,0,,,
