Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,,,
2019-11-11 00:00:00-05:00,176.6329431,177.2457551,175.4355874,176.5480804,809800,0,0,,Close,
2019-11-12 00:00:00-05:00,177.0666175,178.2356904,176.4820882,177.1986084,1037500,0,0,,,
2019-11-13 00:00:00-05:00,177.208036,178.2262436,175.6429904,177.321167,1017600,0,0,,Mean,210.319323
2019-11-14 00:00:00-05:00,178.07541,180.7906541,177.6794372,180.5455322,1501100,0,0,,Standard Error,1.903464241
2019-11-15 00:00:00-05:00,180.7435425,181.299789,179.3104876,180.0647278,1365700,0,0,,Median,208.1628036
2019-11-18 00:00:00-05:00,180.2344069,182.374559,180.083556,181.8560181,1678900,0,0,,Mode,187.0577698
2019-11-19 00:00:00-05:00,182.2897252,184.9201213,181.8088897,184.8824158,1270600,0,0,,Standard Deviation,67.51263257
2019-11-20 00:00:00-05:00,184.175279,185.2689118,181.2243217,184.0998535,1725200,0,0,,Sample Variance,4557.955557
2019-11-21 00:00:00-05:00,183.3456489,184.6278528,180.8001011,181.7146149,1610900,0,0,,Kurtosis,-0.863515253
2019-11-22 00:00:00-05:00,181.7240142,182.6573879,181.0640596,182.1294098,864000,0,0,,Skewness,-0.006431511
2019-11-25 00:00:00-05:00,182.8082446,183.8453266,181.384627,183.5624847,1115200,0,0,,Range,293.0545654
2019-11-26 00:00:00-05:00,184.25071,185.2123665,182.8082325,184.2412872,1761600,0,0,,Minimum,63.27999878
2019-11-27 00:00:00-05:00,184.6476613,185.6494838,183.8159674,185.2052917,1500200,0.48,0,,Maximum,356.3345642
2019-11-29 00:00:00-05:00,184.1278819,185.5833571,183.4662878,184.7422028,631400,0,0,,Sum,264581.7083
2019-12-02 00:00:00-05:00,184.35471,185.0730089,183.2016649,184.8556213,1178400,0,0,,Count,1258
2019-12-03 00:00:00-05:00,183.6269917,183.9766952,181.623346,183.1922455,1459700,0,0,,Confidence Level(95.0%),3.734317072
2019-12-04 00:00:00-05:00,184.156267,187.3885692,183.1922425,187.0105133,1688100,0,0,,,
2019-12-05 00:00:00-05:00,187.0671742,187.6058983,184.4397476,185.5266418,2172900,0,0,,,
2019-12-06 00:00:00-05:00,187.6626448,187.9650895,186.0748533,187.0577698,784100,0,0,,,
2019-12-09 00:00:00-05:00,187.8138435,188.7495155,186.0464775,187.7949371,1140700,0,0,,,
2019-12-10 00:00:00-05:00,187.2184381,187.3885669,185.4321655,187.0577698,1755400,0,0,,,
2019-12-11 00:00:00-05:00,187.6059234,189.6379213,187.1239184,187.6626282,1139300,0,0,,,
2019-12-12 00:00:00-05:00,187.6531715,189.8930964,187.3885396,189.6095581,1114200,0,0,,,
2019-12-13 00:00:00-05:00,189.9687019,192.5772221,188.7211393,192.0574188,1017800,0,0,,,
2019-12-16 00:00:00-05:00,193.5317746,194.4390796,191.6698914,192.8323822,1273000,0,0,,,
2019-12-17 00:00:00-05:00,191.6226962,191.6888614,187.5775918,191.3202515,1901000,0,0,,,
2019-12-18 00:00:00-05:00,192.0196306,193.58853,191.792797,192.7473755,1223100,0,0,,,
2019-12-19 00:00:00-05:00,193.4751331,194.6187179,192.416591,193.0781708,1213600,0,0,,,
2019-12-20 00:00:00-05:00,193.3522125,196.5656075,193.3522125,195.5070801,3176800,0,0,,,
2019-12-23 00:00:00-05:00,196.0836623,196.0836623,194.0894625,194.6659851,1240200,0,0,,,
2019-12-24 00:00:00-05:00,194.5808772,194.9400122,193.9854483,194.174469,327800,0,0,,,
2019-12-26 00:00:00-05:00,194.6942901,196.1686717,194.354047,195.8662415,1092600,0,0,,,
2019-12-27 00:00:00-05:00,196.2253561,196.8302309,195.4692734,196.5372467,495000,0,0,,,
2019-12-30 00:00:00-05:00,196.5183712,196.8964271,194.6565021,195.0723419,680600,0,0,,,
2019-12-31 00:00:00-05:00,194.4107857,195.7434056,194.3068221,195.2046814,541500,0,0,,,
2020-01-02 00:00:00-05:00,195.2046496,196.4522121,194.5147175,194.9400177,1138700,0,0,,,
2020-01-03 00:00:00-05:00,193.3049841,195.2141265,192.5488868,193.4656525,1076200,0,0,,,
2020-01-06 00:00:00-05:00,192.6244884,196.111976,192.2842454,195.97966,2428900,0,0,,,
