Date,Total_Sales_EUR_Million,EPS
2020-01-28,6817.559340659341,3.82
2020-01-29,6802.461538461538,3.82
2020-01-30,6787.363736263736,3.82
2020-01-31,6772.265934065934,3.82
2020-02-01,6757.168131868132,3.82
2020-02-02,6742.07032967033,3.82
2020-02-03,6726.972527472528,3.82
2020-02-04,6711.874725274725,3.82
2020-02-05,6696.776923076923,3.82
2020-02-06,6681.679120879121,3.82
2020-02-07,6666.581318681318,3.82
2020-02-08,6651.483516483517,3.82
2020-02-09,6636.385714285714,3.82
2020-02-10,6621.287912087912,3.82
2020-02-11,6606.19010989011,3.82
2020-02-12,6591.092307692308,3.82
2020-02-13,6575.994505494506,3.82
2020-02-14,6560.896703296703,3.82
2020-02-15,6545.798901098901,3.82
2020-02-16,6530.701098901099,3.82
2020-02-17,6515.603296703297,3.82
2020-02-18,6500.505494505494,3.82
2020-02-19,6485.407692307692,3.82
2020-02-20,6470.30989010989,3.82
2020-02-21,6455.212087912088,3.82
2020-02-22,6440.114285714286,3.82
2020-02-23,6425.016483516483,3.82
2020-02-24,6409.918681318682,3.82
2020-02-25,6394.820879120879,3.82
2020-02-26,6379.723076923077,3.82
2020-02-27,6364.625274725275,3.82
2020-02-28,6349.527472527472,3.82
2020-02-29,6334.42967032967,3.82
2020-03-01,6319.331868131868,3.82
2020-03-02,6304.234065934066,3.82
2020-03-03,6289.136263736264,3.82
2020-03-04,6274.038461538462,3.82
2020-03-05,6258.940659340659,3.82
2020-03-06,6243.842857142858,3.82
2020-03-07,6228.745054945055,3.82
2020-03-08,6213.647252747252,3.82
2020-03-09,6198.549450549451,3.82
2020-03-10,6183.451648351648,3.82
2020-03-11,6168.3538461538465,3.82
2020-03-12,6153.256043956044,3.82
2020-03-13,6138.158241758242,3.82
2020-03-14,6123.06043956044,3.82
2020-03-15,6107.962637362638,3.82
2020-03-16,6092.864835164835,3.82
2020-03-17,6077.767032967033,3.82
2020-03-18,6062.669230769231,3.82
2020-03-19,6047.571428571428,3.82
2020-03-20,6032.473626373627,3.82
2020-03-21,6017.375824175824,3.82
2020-03-22,6002.278021978022,3.82
2020-03-23,5987.18021978022,3.82
2020-03-24,5972.082417582418,3.82
2020-03-25,5956.984615384616,3.82
2020-03-26,5941.886813186813,3.82
2020-03-27,5926.789010989011,3.82
2020-03-28,5911.691208791209,3.82
2020-03-29,5896.593406593407,3.82
2020-03-30,5881.4956043956045,3.82
2020-03-31,5866.397802197802,3.82
2020-04-01,5851.3,3.82
2020-04-02,5864.327472527472,3.816263736263736
2020-04-03,5877.354945054945,3.8125274725274725
2020-04-04,5890.3824175824175,3.8087912087912086
2020-04-05,5903.4098901098905,3.8050549450549447
2020-04-06,5916.437362637363,3.8013186813186812
2020-04-07,5929.464835164836,3.7975824175824173
2020-04-08,5942.492307692308,3.793846153846154
2020-04-09,5955.519780219781,3.79010989010989
2020-04-10,5968.547252747253,3.786373626373626
2020-04-11,5981.574725274725,3.7826373626373626
2020-04-12,5994.602197802198,3.7789010989010987
2020-04-13,6007.62967032967,3.775164835164835
2020-04-14,6020.657142857143,3.7714285714285714
2020-04-15,6033.684615384615,3.7676923076923075
2020-04-16,6046.7120879120885,3.763956043956044
2020-04-17,6059.739560439561,3.76021978021978
2020-04-18,6072.767032967033,3.756483516483516
2020-04-19,6085.794505494506,3.7527472527472527
2020-04-20,6098.821978021978,3.749010989010989
2020-04-21,6111.849450549451,3.745274725274725
2020-04-22,6124.876923076923,3.7415384615384615
2020-04-23,6137.904395604396,3.7378021978021976
2020-04-24,6150.931868131868,3.734065934065934
2020-04-25,6163.959340659341,3.73032967032967
2020-04-26,6176.986813186813,3.7265934065934063
2020-04-27,6190.0142857142855,3.722857142857143
2020-04-28,6203.0417582417585,3.719120879120879
2020-04-29,6216.069230769231,3.715384615384615
2020-04-30,6229.096703296704,3.7116483516483516
2020-05-01,6242.124175824176,3.7079120879120877
2020-05-02,6255.151648351649,3.7041758241758242
2020-05-03,6268.179120879121,3.7004395604395603
2020-05-04,6281.206593406594,3.6967032967032964
2020-05-05,6294.234065934066,3.692967032967033
2020-05-06,6307.261538461538,3.689230769230769
2020-05-07,6320.289010989011,3.685494505494505
2020-05-08,6333.3164835164835,3.6817582417582417
2020-05-09,6346.3439560439565,3.678021978021978
2020-05-10,6359.371428571429,3.6742857142857144
2020-05-11,6372.398901098902,3.6705494505494505
2020-05-12,6385.426373626374,3.6668131868131866
2020-05-13,6398.453846153847,3.663076923076923
2020-05-14,6411.481318681319,3.659340659340659
2020-05-15,6424.508791208791,3.6556043956043953
2020-05-16,6437.536263736264,3.651868131868132
2020-05-17,6450.563736263736,3.648131868131868
2020-05-18,6463.591208791209,3.6443956043956045
2020-05-19,6476.618681318681,3.6406593406593406
2020-05-20,6489.6461538461535,3.6369230769230767
2020-05-21,6502.673626373627,3.6331868131868132
2020-05-22,6515.701098901099,3.6294505494505493
2020-05-23,6528.728571428572,3.6257142857142854
2020-05-24,6541.756043956044,3.621978021978022
2020-05-25,6554.783516483517,3.618241758241758
2020-05-26,6567.810989010989,3.6145054945054946
2020-05-27,6580.838461538462,3.6107692307692307
2020-05-28,6593.865934065934,3.607032967032967
2020-05-29,6606.893406593406,3.6032967032967034
2020-05-30,6619.920879120879,3.5995604395604395
2020-05-31,6632.9483516483515,3.5958241758241756
2020-06-01,6645.9758241758245,3.592087912087912
2020-06-02,6659.003296703297,3.588351648351648
2020-06-03,6672.03076923077,3.5846153846153848
2020-06-04,6685.058241758242,3.580879120879121
2020-06-05,6698.085714285715,3.577142857142857
2020-06-06,6711.113186813187,3.5734065934065935
2020-06-07,6724.140659340659,3.5696703296703296
2020-06-08,6737.168131868132,3.5659340659340657
2020-06-09,6750.195604395604,3.5621978021978022
2020-06-10,6763.223076923077,3.5584615384615383
