Date,Loreal_Stock,Close_currency
11/11/2019,240.7103119,1.102244258
11/12/2019,241.446991,1.103545666
11/13/2019,241.446991,1.101236701
11/14/2019,240.8023834,1.101321578
11/18/2019,240.1577759,1.105509877
11/19/2019,238.1319275,1.107235789
11/20/2019,235.2772827,1.108000159
11/21/2019,235.1852112,1.107885957
11/25/2019,236.9348297,1.102256298
11/26/2019,237.4873199,1.101442933
11/27/2019,236.6585541,1.102256298
11/28/2019,238.2240448,1.100485325
12/2/2019,231.1334534,1.101904154
12/3/2019,233.0672455,1.107910514
12/4/2019,231.3176422,1.108524561
12/5/2019,236.3823242,1.108303428
12/9/2019,235.2772827,1.105888844
12/10/2019,234.2643585,1.106499434
12/11/2019,236.0139618,1.109274626
12/12/2019,236.0139618,1.113585711
12/16/2019,235.7377319,1.11244607
12/17/2019,235.6456451,1.11369741
12/18/2019,238.4081879,1.115138054
12/19/2019,243.749176,1.11159277
12/23/2019,243.5649414,1.107984066
12/24/2019,243.5649414,1.109385371
12/26/2019,245.0383453,1.109545469
12/30/2019,243.104538,1.118230462
1/1/2020,243.2887268,1.122082591
1/2/2020,243.0124512,1.122082591
1/6/2020,239.0528107,1.116196036
1/7/2020,240.5261688,1.119799495
1/8/2020,241.9995117,1.115473866
1/9/2020,243.0124512,1.111321092
1/13/2020,242.9203491,1.111666918
1/14/2020,248.0771027,1.113573313
1/15/2020,248.4454651,1.113089919
1/16/2020,253.5101471,1.115400434
1/20/2020,249.2742462,1.109459281
1/21/2020,247.7087555,1.10969317
1/22/2020,245.8670807,1.108561397
1/23/2020,249.0900574,1.109643936
1/27/2020,240.8944855,1.102535844
1/28/2020,241.5390778,1.101976991
1/29/2020,239.0528107,1.102256298
1/30/2020,231.9622192,1.101685524
2/3/2020,240.8023834,1.108979464
2/4/2020,242.2757721,1.106292605
2/5/2020,246.6037292,1.104728222
2/6/2020,249.2742462,1.100231051
2/10/2020,251.3921661,1.09493053
2/11/2020,249.6425934,1.091345668
2/12/2020,250.0109406,1.091941476
2/13/2020,246.9720612,1.087594867
2/17/2020,247.0641937,1.084175348
2/18/2020,250.7475891,1.084010839
2/19/2020,244.6699829,1.079540491
2/20/2020,244.9462128,1.081009865
2/24/2020,232.6989288,1.083905101
2/25/2020,233.8960114,1.08491993
2/26/2020,227.0817261,1.088199615
2/27/2020,221.9249725,1.08858943
3/2/2020,231.5018005,1.105131149
3/3/2020,238.9607086,1.114404798
3/4/2020,237.1190033,1.11806798
3/5/2020,233.6197662,1.113908291
3/9/2020,215.8473511,1.138602018
3/10/2020,211.5193481,1.139796019
3/11/2020,196.1411591,1.131650567
3/12/2020,198.9036865,1.126151562
3/16/2020,204.9813232,1.115536094
3/17/2020,206.6388245,1.11632061
3/18/2020,209.5855713,1.101552129
3/19/2020,209.0330505,1.09615469
3/23/2020,219.4386749,1.069438696
3/24/2020,233.711853,1.076461077
3/25/2020,234.4485321,1.080263615
3/26/2020,221.0041046,1.088956952
3/29/2020,226.8054657,1.113908291
3/30/2020,219.9911804,1.103046656
3/31/2020,214.8344116,1.102657437
4/1/2020,219.1624146,1.095362186
4/2/2020,217.5969543,1.084739923
4/5/2020,216.7681885,1.08069551
4/6/2020,221.0041046,1.080380321
4/7/2020,223.2141571,1.089514494
4/8/2020,225.4241943,1.086366177
4/13/2020,230.6730499,1.092299342
4/14/2020,226.4371185,1.098538876
4/15/2020,225.147934,1.09051013
4/16/2020,228.002594,1.085847139
4/19/2020,235.4614716,1.086696625
4/20/2020,226.345047,1.086484075
4/21/2020,228.4629974,1.085646749
4/22/2020,226.345047,1.080964208
4/23/2020,224.0429077,1.077702284
4/26/2020,226.7133789,1.082368255
4/27/2020,234.2643585,1.082485437
4/28/2020,235.9218903,1.083658457
4/29/2020,244.3016205,1.087725043
5/3/2020,230.3967743,1.095962524
5/4/2020,228.5550995,1.090429306
5/5/2020,223.7666626,1.083858132
5/6/2020,229.2917633,1.079855323
5/7/2020,233.4356079,1.083717108
5/10/2020,235.6456451,1.083952069
5/11/2020,233.2514343,1.080940843
5/12/2020,225.9766998,1.084681034
5/13/2020,222.2932892,1.082368255
5/14/2020,223.4904175,1.08069551
5/17/2020,230.4888763,1.082134008
5/18/2020,228.647171,1.091512442
5/19/2020,233.2514343,1.092776775
5/20/2020,228.647171,1.098297596
5/21/2020,228.4629974,1.095290303
5/24/2020,231.2255707,1.090780139
5/25/2020,228.8313599,1.090299726
5/26/2020,231.5018005,1.098177075
5/27/2020,239.6053314,1.101685524
5/28/2020,241.1707306,1.107910514
5/31/2020,238.3161011,1.111852407
6/1/2020,240.5261688,1.112594604
6/2/2020,248.9979706,1.118943691
6/3/2020,245.406662,1.123595476
6/4/2020,248.3533936,1.133786798
6/7/2020,243.749176,1.131951571
6/8/2020,244.9462128,1.130556703
6/9/2020,245.4987488,1.133221507
6/10/2020,243.749176,1.136544466
6/11/2020,242.5520172,1.12880826
6/14/2020,240.2499084,1.125201106
6/15/2020,250.563446,1.133774042
6/16/2020,254.3388977,1.126570106
6/17/2020,254.7072296,1.124290228
6/18/2020,257.1014709,1.121100068
6/21/2020,254.7993317,1.117755532
6/22/2020,258.3906555,1.127967954
6/23/2020,256.9172668,1.131234527
6/24/2020,258.7589417,1.125087261
6/25/2020,262.5344543,1.122208476
6/28/2020,262.7186279,1.122586489
6/29/2020,263.0869751,1.124720216
6/30/2020,264.0078735,1.123595476
7/1/2020,273.2163391,1.125137806
7/2/2020,270.1842346,1.1237849
7/5/2020,270.8373108,1.124720216
7/6/2020,268.971405,1.131285667
7/7/2020,266.2658081,1.127522826
7/8/2020,267.4786987,1.133915424
7/9/2020,269.2512817,1.128795505
7/12/2020,268.5048828,1.131004214
7/13/2020,266.6389465,1.134549618
7/14/2020,271.5836792,1.141070485
7/15/2020,267.8518372,1.141719341
7/16/2020,270.8373108,1.139211655
7/19/2020,270.5574036,1.144295692
7/20/2020,270.1842346,1.145869136
7/21/2020,267.8518372,1.153402567
7/22/2020,271.7702332,1.156871796
7/23/2020,265.7993469,1.159608483
7/26/2020,266.4523926,1.165256739
7/27/2020,267.4786987,1.176927567
7/28/2020,269.8110352,1.17187953
7/29/2020,265.4261475,1.178286552
7/30/2020,264.0267029,1.187225461
8/2/2020,259.4552307,1.178231001
8/3/2020,262.7205811,1.176332235
8/4/2020,263.5602417,1.181544304
8/5/2020,260.2948608,1.187281847
8/6/2020,258.988739,1.187648416
8/9/2020,257.4959717,1.178272724
8/10/2020,258.6155701,1.173777819
8/11/2020,263.2803345,1.173653841
8/12/2020,263.5602417,1.179380178
8/13/2020,259.8283997,1.181655884
8/16/2020,260.2015991,1.185255408
8/17/2020,260.4814758,1.187648416
8/18/2020,264.0267029,1.194785953
8/19/2020,260.2948608,1.184350014
8/20/2020,255.5367889,1.187366486
8/23/2020,259.9216919,1.179801822
8/24/2020,260.1083069,1.17945385
8/25/2020,262.5339355,1.183501959
8/26/2020,261.7876282,1.184272885
8/27/2020,258.6155701,1.181963205
8/30/2020,258.3356934,1.191824079
8/31/2020,258.8954773,1.193901539
9/1/2020,262.3473816,1.19232142
9/2/2020,259.9216919,1.184735894
9/3/2020,255.5367889,1.183978438
9/6/2020,259.9216919,1.18344593
9/7/2020,257.4027405,1.182172775
9/8/2020,263.6535339,1.177024484
9/9/2020,262.6272583,1.180637598
9/10/2020,263.2803345,1.182438493
9/13/2020,262.5339355,1.184272885
9/14/2020,264.3998718,1.187000036
9/15/2020,262.1607666,1.184441209
9/16/2020,261.2278442,1.180344939
9/17/2020,258.0557556,1.184820056
9/20/2020,252.9245453,1.184553385
9/21/2020,255.5367889,1.176800013
9/22/2020,258.8954773,1.170836806
9/23/2020,255.7234039,1.165854454
9/24/2020,252.5513763,1.167324305
9/27/2020,259.9216919,1.16353488
9/28/2020,262.6272583,1.167883277
9/29/2020,258.988739,1.174205065
9/30/2020,263.7468262,1.172607899
10/1/2020,262.3473816,1.174494624
10/4/2020,261.2278442,1.172044396
10/5/2020,260.4814758,1.179245353
10/6/2020,259.4552307,1.17376399
10/7/2020,259.8283997,1.176747441
10/8/2020,263.4669495,1.176700354
10/11/2020,268.1316833,1.181683898
10/12/2020,267.8518372,1.181614041
10/13/2020,270.8373108,1.174218893
10/14/2020,265.6127625,1.174398184
10/15/2020,271.8635559,1.170713425
10/18/2020,269.1579895,1.171550155
10/19/2020,271.117218,1.176885962
10/20/2020,267.5718994,1.182983994
10/21/2020,266.1724854,1.185395956
10/22/2020,269.2512817,1.181502461
10/26/2020,267.8518372,1.18484807
10/27/2020,260.1083069,1.180944324
10/28/2020,260.3881836,1.178411484
10/29/2020,259.0820618,1.174867272
11/2/2020,270.7440491,1.164212108
11/3/2020,279.7936707,1.164279938
11/4/2020,278.767395,1.17622149
11/5/2020,277.0881042,1.173268199
11/9/2020,294.2544861,1.189301014
11/10/2020,297.6131592,1.182732105
11/11/2020,296.0270996,1.181879401
11/12/2020,293.1349487,1.178029776
11/16/2020,295.374054,1.184525371
11/17/2020,293.5081177,1.1859442
11/18/2020,289.9628601,1.18636632
11/19/2020,291.1757507,1.184763908
11/23/2020,276.0618286,1.186647773
11/24/2020,283.9919739,1.184272885
11/25/2020,285.2981262,1.190051198
11/26/2020,288.5634766,1.19200027
11/30/2020,285.7646179,1.197146058
12/1/2020,285.8578796,1.193816066
12/2/2020,284.5517578,1.207437873
12/3/2020,285.7646179,1.211460352
12/7/2020,284.3651428,1.212135911
12/8/2020,281.7528992,1.211313605
12/9/2020,281.4730225,1.211093664
12/10/2020,282.2193604,1.207875371
12/14/2020,282.2193604,1.213340402
12/15/2020,288.6567688,1.214889646
12/16/2020,284.2718811,1.21543014
12/17/2020,284.9249268,1.219958544
12/21/2020,281.5662537,1.221612811
12/22/2020,283.3388672,1.223690629
12/23/2020,282.0327454,1.218665123
12/28/2020,291.269043,1.220509529
12/29/2020,292.2019653,1.222344518
12/30/2020,289.9628601,1.225295067
1/4/2021,287.8171082,1.225069761
1/5/2021,288.0969849,1.225159883
1/6/2021,286.977478,1.230027437
1/7/2021,285.7646179,1.234110832
1/11/2021,280.3534546,1.218620539
1/12/2021,281.2864075,1.216070175
1/13/2021,278.0210571,1.220889449
1/14/2021,278.3942566,1.216249108
1/18/2021,277.1813965,1.206811309
1/19/2021,273.9160461,1.207729459
1/20/2021,274.848999,1.213886857
1/21/2021,276.4350281,1.21156311
1/25/2021,281.5662537,1.216944695
1/26/2021,277.6478882,1.214624047
1/27/2021,277.4613037,1.216299295
1/28/2021,270.6506958,1.210507274
2/1/2021,278.3942566,1.212385774
2/2/2021,276.0618286,1.206869483
2/3/2021,278.1143799,1.203905463
2/4/2021,285.1115417,1.204238892
2/8/2021,291.8287964,1.204877377
2/9/2021,290.4293823,1.205359578
2/10/2021,288.2835693,1.211999297
2/11/2021,296.9600525,1.212121248
2/15/2021,292.5751953,1.212209344
2/16/2021,295.7472229,1.213219643
2/17/2021,295.5606079,1.209248304
2/18/2021,294.9076233,1.204800487
