Date,Open_Stock_Price,High_Stock_Price,Low_Stock_Price,Close_Stock_Price,Stock_Volumn,Stock_Dividends,Stock_Splits,Open_Currency_Rate,High_Currency_Rate,Low_Currency_Rate,Close_Currency_Rate,Currency_Rate_Volumn,Currency_Rate_Dividends,Currency_Stock_Splits,Total_Sales(EUR_Million),EPS
2019-12-27,244.24026018230296,245.98988939748514,242.55204351836264,244.148188273112,290217.0,0.0,0.0,1.1101243495941162,1.118067979812622,1.1099998950958252,1.110111951828003,0.0,0.0,0.0,7260.748913043478,3.795
2019-12-28,244.54720696625049,245.56015758592272,242.4599588319352,243.2580312093099,256976.0,0.0,0.0,1.1128013928731282,1.119401971499125,1.1127184232076008,1.1128181219100952,0.0,0.0,0.0,7253.639130434783,3.8
2019-12-29,244.854153750198,245.13042577436028,242.3678741455078,242.3678741455078,223735.0,0.0,0.0,1.1154784361521404,1.1207359631856282,1.1154369513193767,1.1155242919921875,0.0,0.0,0.0,7246.529347826086,3.805
2019-12-30,241.9995060959076,243.657053897847,240.98659300276037,243.1045379638672,102421.0,0.0,0.0,1.1181554794311523,1.1220699548721311,1.1181554794311523,1.1182304620742798,0.0,0.0,0.0,7239.419565217391,3.81
2019-12-31,242.64411645127413,244.623953540954,241.67723462921643,243.1966323852539,226860.5,0.0,0.0,1.1204482316970823,1.1241008043289185,1.1200717687606812,1.120229721069336,0.0,0.0,0.0,7232.309782608696,3.815
2020-01-01,243.28872680664065,245.59085318406105,242.36787625567248,243.28872680664065,351300.0,0.0,0.0,1.1220825910568235,1.1228384971618652,1.115946888923645,1.1220825910568235,0.0,0.0,0.0,7225.2,3.82
2020-01-02,240.2498995599883,243.012451171875,239.97365563965093,243.012451171875,292884.0,0.0,0.0,1.1218937635421753,1.12271249294281,1.116682052612305,1.1220825910568235,0.0,0.0,0.0,7210.102197802197,3.82
2020-01-03,240.3726656623216,242.7668825963911,239.42112771674448,242.7361857096354,317862.6666666667,0.0,0.0,1.1170812845230105,1.118067979812622,1.112569808959961,1.1171437501907349,0.0,0.0,0.0,7195.004395604396,3.82
2020-01-04,240.49543176465488,242.52131402090723,238.868599793838,242.45992024739584,342841.3333333333,0.0,0.0,1.1168028116226199,1.118986964225769,1.113649845123291,1.1168278455734253,0.0,0.0,0.0,7179.906593406593,3.82
2020-01-05,240.61819786698817,242.27574544542333,238.31607187093155,242.18365478515625,367820.0,0.0,0.0,1.116524338722229,1.119905948638916,1.114729881286621,1.1165119409561157,0.0,0.0,0.0,7164.808791208791,3.82
2020-01-06,243.10454750696903,243.47288211003865,238.40820403697683,239.0528106689453,508141.0,0.0,0.0,1.1162458658218384,1.120824933052063,1.1158099174499512,1.1161960363388062,0.0,0.0,0.0,7149.710989010989,3.82
2020-01-07,239.51322762341144,240.5261688232422,237.3952545506512,240.5261688232422,431996.0,0.0,0.0,1.1195825338363647,1.1199462413787842,1.1134865283966064,1.1197994947433472,0.0,0.0,0.0,7134.613186813187,3.82
2020-01-08,241.44702387406096,243.01245293756065,241.26284252441232,241.99951171875,366260.0,0.0,0.0,1.1155734062194824,1.1165200471878052,1.111086368560791,1.1154738664627075,0.0,0.0,0.0,7119.515384615384,3.82
2020-01-09,242.9203604977198,243.8412110350154,241.9074473883973,243.012451171875,235734.0,0.0,0.0,1.1114444732666016,1.1122233867645264,1.1095085144042969,1.1113210916519165,0.0,0.0,0.0,7104.417582417583,3.82
2020-01-10,242.70549608247396,243.71842790228666,241.47770476705014,242.5827178955078,270489.3333333333,0.0,0.0,1.1109259128570557,1.1120996475219729,1.108622908592224,1.1111111640930176,0.0,0.0,0.0,7089.31978021978,3.82
2020-01-11,242.4906316672281,243.59564476955794,241.04796214570302,242.15298461914062,305244.6666666667,0.0,0.0,1.1111688216527302,1.1128887335459392,1.1095511118570962,1.1112964153289795,0.0,0.0,0.0,7074.2219780219775,3.82
2020-01-12,242.27576725198224,243.4728616368292,240.61821952435588,241.72325134277344,340000.0,0.0,0.0,1.111411730448405,1.1136778195699057,1.1104793151219685,1.1114816665649412,0.0,0.0,0.0,7059.124175824176,3.82
2020-01-13,241.63116404968167,242.92034912109372,238.9607032370152,242.92034912109372,432947.0,0.0,0.0,1.1116546392440796,1.114466905593872,1.1114075183868408,1.111666917800903,0.0,0.0,0.0,7044.026373626373,3.82
2020-01-14,243.10451591065805,248.44543721633,242.82827201979148,248.0771026611328,523590.0,0.0,0.0,1.1134493350982666,1.1145787239074707,1.11055588722229,1.1135733127593994,0.0,0.0,0.0,7028.928571428572,3.82
2020-01-15,248.26131184069564,248.81382778653736,246.69585467783224,248.44546508789065,338818.0,0.0,0.0,1.1129660606384275,1.1163455247879028,1.112025499343872,1.113089919090271,0.0,0.0,0.0,7013.830769230769,3.82
2020-01-16,248.72174105972704,254.3389350777083,248.1692251051155,253.51014709472656,606223.0,0.0,0.0,1.1152697801589966,1.117193579673767,1.112978458404541,1.1154004335403442,0.0,0.0,0.0,6998.732967032967,3.82
2020-01-17,249.73467222636626,253.9398935130064,249.1514687488797,253.20319620768228,491067.6666666667,0.0,0.0,1.113800287246704,1.1145004034042358,1.1087580919265747,1.1139578819274902,0.0,0.0,0.0,6983.635164835165,3.82
2020-01-18,250.74760339300548,253.54085194830452,250.1337123926439,252.896245320638,375912.3333333334,0.0,0.0,1.1123737891515095,1.113164981206258,1.1084223588307698,1.112458348274231,0.0,0.0,0.0,6968.537362637362,3.82
2020-01-19,251.7605345596447,253.14181038360263,251.1159560364081,252.58929443359372,260757.0,0.0,0.0,1.1109472910563152,1.1118295590082805,1.108086625734965,1.1109588146209717,0.0,0.0,0.0,6953.43956043956,3.82
2020-01-20,249.64258080222888,250.47134064718009,246.2354226481625,249.2742462158203,482696.0,0.0,0.0,1.1095207929611206,1.1104941368103027,1.1077508926391602,1.1094592809677124,0.0,0.0,0.0,6938.341758241758,3.82
